kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
千成り;せんなり;great collection (of things);n;0;;;;;;;;;;;
先月;せんげつ;last month;n, adv;5;The meeting was last month.;<ruby>会合<rt>かいごう</rt></ruby>は<ruby>先月<rt>せんげつ</rt></ruby>あった。;last month;n, adv;;;;;先々月;;
先々月;せんせんげつ;month before last;n, adv;0;;;;;;;;;;;
先週;せんしゅう;last week;n, adv;5;It was last week.;<ruby>先週<rt>せんしゅう</rt></ruby>でした。;last week, the week before;n, adv;;;;;先週の今日;先々週;
先週の今日;せんしゅうのきょう;this day last week;n;0;;;;;;;;;;;
先々週;せんせんしゅう;week before last;n, adv;0;;;;;;;;;;;
先生;せんせい;teacher, professor, master, doctor;n;5;Are you a teacher?;<ruby>先生<rt>せんせい</rt></ruby>なの？;teacher, instructor, master;n;sensei, title or form of address for a teacher, master, doctor, lawyer, etc.;n, n-suf;intimate or teasing form of address;n;先生と言われるほどの馬鹿でなし;先生方;先生に就く
先生と言われるほどの馬鹿でなし;せんせいといわれるほどのばかでなし;I don't fall for flattery;exp;0;;;;;;;;;;;
先生方;せんせいがた;doctors;n;0;;;;;;;;;;;
先生に就く;せんせいにつく;to study under a teacher;exp, v5k;0;;;;;;;;;;;
洗濯;せんたく;washing, laundry;n, vs, vt;5;Tom is doing the laundry.;<ruby>トム<rt>とむ</rt></ruby>は<ruby>洗濯中<rt>せんたくちゅう</rt></ruby>だ。;washing, laundry;n, vs, vt;relaxation, rejuvenation, melting away (of worries, fatigue, etc.);n;;;洗濯カゴ;洗濯石鹸;洗濯物
洗濯カゴ;せんたくかご;laundry basket;n;0;;;;;;;;;;;
洗濯石鹸;せんたくせっけん;laundry soap;n;0;;;;;;;;;;;
洗濯物;せんたくもの;laundry;n;0;;;;;;;;;;;
全部;ぜんぶ;all, entire, whole;n, adj-no, adv;5;Is that all?;それで<ruby>全部<rt>ぜんぶ</rt></ruby>？;all, entire, whole, altogether;n, adj-no, adv;;;;;全部保険;全部床義歯;国家安全部
全部保険;ぜんぶほけん;full insurance;n;0;;;;;;;;;;;
全部床義歯;ぜんぶしょうぎし;complete denture;n;0;;;;;;;;;;;
国家安全部;こっかあんぜんぶ;Ministry of State Security (China);n;0;;;;;;;;;;;
そう, そうです;そう, そうです;yes, appears, to be the case;aux, adj-na;5;It is premature to put the plan into practice now.;<ruby>今<rt>いま</rt></ruby>その<ruby>計画<rt>けいかく</rt></ruby>を<ruby>実施<rt>じっし</rt></ruby>するのは、<ruby>時期尚早<rt>じきしょうそう</rt></ruby>である。;appearing that, seeming that, looking like, having the appearance of;aux, adj-na;;;;;そうは問屋が卸さない;そういう事か;そうはイカの金玉
そうは問屋が卸さない;そうはとんやがおろさない;things don't work that well in the real world;exp;0;;;;;;;;;;;
そういう事か;そういうことか;I got it;exp;0;;;;;;;;;;;
そうはイカの金玉;そうはいかのきんたま;you wish!;exp;0;;;;;;;;;;;
掃除;そうじ (する);cleaning, sweeping;n, vs, vt;5;It's time for spring cleaning!;<ruby>大掃除<rt>おおそうじ</rt></ruby>の<ruby>時間<rt>じかん</rt></ruby>だよ！;cleaning, sweeping, dusting, scrubbing;n, vs, vt;;;;;掃除機;掃除機をかける;拭き掃除
掃除機;そうじき;vacuum cleaner;n;0;;;;;;;;;;;
掃除機をかける;そうじきをかける;to vacuum;exp, v1;0;;;;;;;;;;;
拭き掃除;ふきそうじ;cleaning;n, vs, vt, vi;0;;;;;;;;;;;
そうして, そして;そうして, そして;and, like that;conj;5;It is kind of you to do so.;そうしてくれて<ruby>君<rt>くん</rt></ruby>は<ruby>親切<rt>しんせつ</rt></ruby>ですね。;and, and then, thus, and now, and finally;conj;;;;;そうして見ると;そして誰もいなくなった;そして父になる
そうして見ると;そうしてみると;when looked at in that way;exp;0;;;;;;;;;;;
そして誰もいなくなった;そしてだれもいなくなった;And Then There Were None (1938 novel by Agatha Christie);n;0;;;;;;;;;;;
そして父になる;そしてちちになる;Like Father, Like Son (2013 film);n;0;;;;;;;;;;;
そこ;そこ;that place, there, bottom, sole;pn;5;Is it warm there?;そこ<ruby>暖<rt>あたた</rt></ruby>かい？;there (place relatively near listener);pn;there (place just mentioned), that place;pn;then (of some incident just spoken of), that (of point just raised);pn;そこら辺;其処まで;そこへ持ってきて
そこら辺;そこらへん;hereabouts;n, adv;0;;;;;;;;;;;
其処まで;そこまで;that far;exp;0;;;;;;;;;;;
そこへ持ってきて;そこへもってきて;what is worse;exp;0;;;;;;;;;;;
そちら;そちら;over there;pn;5;How about your place?;そちらはどうですか？;that way, that direction;pn;there;pn;that (one);pn;そちら様;;
そちら様;そちらさま;you;pn;0;;;;;;;;;;;
そっち;そっち;over there;pn;5;What time is it there?;そっちは<ruby>今<rt>いま</rt></ruby><ruby>何時<rt>なんじ</rt></ruby>？;that way, that direction;pn;there;pn;that (one);pn;そっち退け;そっち系;
そっち退け;そっちのけ;neglecting;n;0;;;;;;;;;;;
そっち系;そっちけい;person with differing ideology, attitudes, etc. to one's own;n;0;;;;;;;;;;;
外;そと;outside, exterior;n;5;Look outside!;<ruby>外見<rt>がいけん</rt></ruby>て！;outside, exterior;n;the open (air);n;other place, somewhere else, outside one's group (family, company, etc.);n;外堀;外郭;外付け
外堀;そとぼり;outer moat (of a castle);n;0;;;;;;;;;;;
外郭;がいかく;outer fence;n;0;;;;;;;;;;;
外付け;そとづけ;external (hard drive, disk drive, etc.);adj-no, n, vs;0;;;;;;;;;;;
その;その;that;adj-pn;5;What does that mean?;その<ruby>心<rt>こころ</rt></ruby>は？;that, the;adj-pn;"part (as in ""part two"")";adj-pn;um ..., er ..., uh ...;int;その他もろもろ;その他いろいろ;その他
その他もろもろ;そのたもろもろ;and various other things;exp, adj-no;0;;;;;;;;;;;
その他いろいろ;そのほかいろいろ;and various other things;exp, adj-na;0;;;;;;;;;;;
その他;そのほか;the rest;exp, n, adj-no;0;;;;;;;;;;;
そば;そば;near, close, beside, Japanese traditional buckwheat noodle;n;5;Would you play with me?;<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>遊<rt>あそ</rt></ruby>ばない？;buckwheat (Fagopyrum esculentum);n;soba, Japanese buckwheat noodles;n;Chinese-style wheat noodles;n;そば切り;引越しそば;蕎麦屋
そば切り;そばきり;soba;n;0;;;;;;;;;;;
引越しそば;ひっこしそば;soba given to one's new neighbors after moving in;n;0;;;;;;;;;;;
蕎麦屋;そばや;soba restaurant;n;0;;;;;;;;;;;
空;そら;sky;n;5;The can is empty.;<ruby>缶<rt>かん</rt></ruby>は<ruby>空<rt>そら</rt></ruby>よ。;sky, the air, the heavens;n;weather;n;far-off place, distant place;n;空き家;空き瓶;空焚き
空き家;あきや;vacant house;n;0;;;;;;;;;;;
空き瓶;あきびん;empty bottle;n;0;;;;;;;;;;;
空焚き;からだき;heating a vessel without water in it;n, vs, vt;0;;;;;;;;;;;
それ;それ;that one;pn;5;What is it?;それ<ruby>何<rt>なに</rt></ruby>？;that, it;pn;then, that point (in time), that time;pn;there;pn;それにも関わらず;それ弾;それ御覧
それにも関わらず;それにもかかわらず;nonetheless;conj;0;;;;;;;;;;;
それ弾;それだま;stray bullet;n;0;;;;;;;;;;;
それ御覧;それごらん;well, look at that;exp;0;;;;;;;;;;;
それから;それから;and then, after that;exp;5;Then she hurried home.;それから<ruby>家<rt>いえ</rt></ruby>に<ruby>急<rt>いそ</rt></ruby>いだ。;and then, after that;exp;;;;;それからというもの;;
それからというもの;それからというもの;after that (a substantive change occurred);exp;0;;;;;;;;;;;
それでは;それでは;in that situation, well then...;conj;5;That's against the contract.;それでは<ruby>契約<rt>けいやく</rt></ruby>と<ruby>違<rt>ちが</rt></ruby>う。;well, ..., right, ..., now, ...;conj;so, then;conj;that way (would mean ...), if that is the case, in that case;exp;;;
～台;～だい;counter for vehicles, machines;n, n-suf;5;Where's the kitchen?;<ruby>台所<rt>だいどころ</rt></ruby>はどこ？;stand, rest, base, pedestal, platform, table, holder, support, rack;n, n-suf;setting (of a gem), mounting;n;stock (in grafting);n;台無し;台湾;台詞回し
台無し;だいなし;spoiled;adj-na, n;0;;;;;;;;;;;
台湾;たいわん;Taiwan;n;0;;;;;;;;;;;
台詞回し;せりふまわし;theatrical elocution;n;0;;;;;;;;;;;
大学;だいがく;college, university;n;5;You're a college student, aren't you?;<ruby>大学生<rt>だいがくせい</rt></ruby>だよね？;university, college;n;former imperial university of Japan (established under the ritsuryō system for the training of government administrators);n;the Great Learning (one of the Four Books);n;大学芋;大学院;大学生
大学芋;だいがくいも;candied sweet potato;n;0;;;;;;;;;;;
大学院;だいがくいん;graduate school;n;0;;;;;;;;;;;
大学生;だいがくせい;university student;n;0;;;;;;;;;;;
大使館;たいしかん;embassy;n;5;I'm going to the embassy tomorrow.;<ruby>私<rt>わたし</rt></ruby>は<ruby>明日<rt>あした</rt></ruby><ruby>大使館<rt>たいしかん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きます。;embassy;n;;;;;大使館付き武官;在日大使館;日本大使館
大使館付き武官;たいしかんづきぶかん;military officer attached to embassy;n;0;;;;;;;;;;;
在日大使館;ざいにちたいしかん;(foreign) embassy in Japan;n;0;;;;;;;;;;;
日本大使館;にほんたいしかん;Embassy of Japan;n;0;;;;;;;;;;;
大丈夫;だいじょうぶ;It's ok (all right), No need to worry, Everything is under control;adj-na;5;;;safe, secure, sound, problem-free, without fear, all right, alright, OK, okay;adj-na;certainly, surely, undoubtedly;adv;no thanks, I'm good, that's alright;int, adj-na;;;
大好き;だいすき;very like-able, like very much;adj-na;5;I love you.;<ruby>大好<rt>だいす</rt></ruby>き。;liking very much, loving (something or someone), adoring, being very fond of;adj-na;;;;;大好きになる;;
大好きになる;だいすきになる;to come to like a lot;exp, v5r;0;;;;;;;;;;;
大切;たいせつ;important;adj-na;5;Language is important.;<ruby>言葉<rt>ことば</rt></ruby>は<ruby>大切<rt>たいせつ</rt></ruby>ね。;important, significant, serious, crucial;adj-na;precious, valuable, dear, cherished, beloved;adj-na;careful;adj-na;大切に;大切にする;大切な人
大切に;たいせつに;carefully;adv;0;;;;;;;;;;;
大切にする;たいせつにする;to cherish;exp, vs-i;0;;;;;;;;;;;
大切な人;たいせつなひと;special someone;exp, n;0;;;;;;;;;;;
台所;だいどころ;kitchen;n;5;Where's the kitchen?;<ruby>台所<rt>だいどころ</rt></ruby>はどこ？;kitchen;n;financial situation, finances;n;;;台所道具;台所用品;台所事情
台所道具;だいどころどうぐ;kitchen utensils;n;0;;;;;;;;;;;
台所用品;だいどころようひん;kitchenware;n;0;;;;;;;;;;;
台所事情;だいどころじじょう;financial situation;n;0;;;;;;;;;;;
大変;たいへん;very, difficult, hard;adv;5;Ah! This is bad!;わぁ！<ruby>大変<rt>たいへん</rt></ruby>だ！;very, greatly, terribly, awfully;adv;immense, enormous, great;adj-na, n;serious, grave, dreadful, terrible;adj-na, n;大変化;大変革;大変身
大変化;だいへんか;major change;n, vs;0;;;;;;;;;;;
大変革;だいへんかく;revolution;n;0;;;;;;;;;;;
大変身;だいへんしん;makeover;n, vs;0;;;;;;;;;;;
高い;たかい;tall, high, expensive;adj-i;5;Gold is expensive.;<ruby>金<rt>きん</rt></ruby>は<ruby>高<rt>たか</rt></ruby>い。;high, tall;adj-i;expensive, high-priced;adj-i;high (level), above average (in degree, quality, etc.);adj-i;タダより高いものはない;高い高い;甲高い
タダより高いものはない;ただよりたかいものはない;nothing costs as much as what is given to us;exp, adj-i;0;;;;;;;;;;;
高い高い;たかいたかい;lifting a child high up in the air;exp, n, vs;0;;;;;;;;;;;
甲高い;かんだかい;high-pitched;adj-i;0;;;;;;;;;;;
～だけ;～だけ;only ~, just ~, as ~;prt;5;Am I the only one?;<ruby>俺<rt>おれ</rt></ruby>だけ？;only, just, merely, simply, no more than, nothing but, alone;prt;as much as, to the extent of, enough to;prt;;;だけが能ではない;だけの事はある;できるだけ早く
だけが能ではない;だけがのうではない;it is not everything to ...;exp;0;;;;;;;;;;;
だけの事はある;だけのことはある;not ... for nothing;exp, v5r-i;0;;;;;;;;;;;
できるだけ早く;できるだけはやく;as soon as possible;exp;0;;;;;;;;;;;
沢山;たくさん;many, much;adj-no, adj-na, n, adv;5;Children are a poor man's riches.;<ruby>貧乏人<rt>びんぼうにん</rt></ruby>の<ruby>子<rt>こ</rt></ruby><ruby>沢山<rt>たくさん</rt></ruby>。;a lot, lots, plenty, many, a large number, much, a great deal, a good deal;adj-no, adj-na, n, adv;enough, sufficient;adj-no, adj-na, n, adv;enough, too many, too much;n-suf;盛りだくさん;律義者の子沢山;子沢山
盛りだくさん;もりだくさん;many;adj-na, adj-no, n;0;;;;;;;;;;;
律義者の子沢山;りちぎもののこだくさん;the morally righteous are blessed with many children;exp;0;;;;;;;;;;;
子沢山;こだくさん;having many children;n, adj-no, adj-na;0;;;;;;;;;;;
タクシー;タクシー;taxi;n;5;Do you have money for a taxi?;<ruby>タクシー<rt>たくしー</rt></ruby><ruby>代<rt>だい</rt></ruby>あるの？;taxi;n;;;;;タクシー乗り場;タキシング;タクシー代
タクシー乗り場;タクシーのりば;taxi rank;n;0;;;;;;;;;;;
タキシング;タキシング;taxiing (of an aircraft);n, vs;0;;;;;;;;;;;
タクシー代;タクシーだい;taxi fare;n;0;;;;;;;;;;;
出す;だす;to take (something) out, to hand in (something);v5s, vt;5;Don't throw in the towel.;<ruby>投げ出<rt>なげだ</rt></ruby>すな。;to take out, to get out;v5s, vt;to put out, to reveal, to show;v5s, vt;to submit (e.g. thesis), to turn in;v5s, vt;生み出す;抜け出す;駆り出す
生み出す;うみだす;to create;v5s, vt;0;;;;;;;;;;;
抜け出す;ぬけだす;to slip out;v5s, vi;0;;;;;;;;;;;
駆り出す;かりだす;to hunt out;v5s, vt;0;;;;;;;;;;;
～たち;～たち;plural suffix;n;5;Get up!;<ruby>立ち上<rt>たちあ</rt></ruby>がれ！;long sword (as opposed to the shorter katana);n;tachi, sabre-like sword worn on the hip with the blade facing down;n;;;立ち向かう;立ち上がる;立ち上げる
立ち向かう;たちむかう;to fight against;v5u, vi;0;;;;;;;;;;;
立ち上がる;たちあがる;to stand up;v5r, vi;0;;;;;;;;;;;
立ち上げる;たちあげる;to start (something);v1, vt;0;;;;;;;;;;;
立つ;たつ;to stand up;v5t, vi;5;This ought to help.;<ruby>役に立<rt>やくにた</rt></ruby>つはずだ。;to stand (up), to rise, to get to one's feet, to stand on end (e.g. of hairs), to stick up;v5t, vi;to stand (in a position, of a person, tree, building, etc.), to be situated (in, on);v5t, vi;to be (in difficulties, the lead, etc.), to put oneself (in a position or situation), to take up (a position, post, etc.), to position oneself;v5t, vi;立つ鳥跡を濁さず;降り立つ;立つ瀬がない
立つ鳥跡を濁さず;たつとりあとをにごさず;it is simply common courtesy to clean up after yourself;exp;0;;;;;;;;;;;
降り立つ;おりたつ;to go down and stand;v5t, vi;0;;;;;;;;;;;
立つ瀬がない;たつせがない;being left in an awkward position;exp, adj-i;0;;;;;;;;;;;
たて;たて;length, height;n;5;Can you stand up?;<ruby>立<rt>た</rt></ruby>てますか？;the vertical, height;n;front-to-back, length;n;north-to-south;n;駆り立てる;立て続け;楯突く
駆り立てる;かりたてる;to flush out (a hare, fox, etc.);v1, vt;0;;;;;;;;;;;
立て続け;たてつづけ;succession;n;0;;;;;;;;;;;
楯突く;たてつく;to defy;v5k, vi;0;;;;;;;;;;;
建物;たてもの;building;n;5;Look at that building.;あの<ruby>建物<rt>たてもの</rt></ruby>を<ruby>見<rt>み</rt></ruby>て。;building;n;;;;;建物面積;掘立柱建物;宅地建物取引主任者
建物面積;たてものめんせき;total floor area;n;0;;;;;;;;;;;
掘立柱建物;ほったてばしらたてもの;post in ground (construction);n;0;;;;;;;;;;;
宅地建物取引主任者;たくちたてものとりひきしゅにんしゃ;registered real-estate broker;n;0;;;;;;;;;;;
楽しい;たのしい;enjoyable, fun;adj-i;5;Enjoy your trip.;<ruby>楽<rt>たの</rt></ruby>しい<ruby>旅<rt>たび</rt></ruby>を。;enjoyable, fun, pleasant, happy, delightful;adj-i;;;;;楽しい思い出;;
楽しい思い出;たのしいおもいで;happy memory;exp, n;0;;;;;;;;;;;
頼む;たのむ;to request, to ask (a favor);v5m, vt;5;I'm begging you.;<ruby>頼<rt>たの</rt></ruby>むよー。;to request, to beg, to ask;v5m, vt;to call, to order, to reserve;v5m, vt;to entrust to;v5m, vt;頼むから;もみ手で頼む;杖とも柱とも頼む
頼むから;たのむから;please!;exp;0;;;;;;;;;;;
もみ手で頼む;もみででたのむ;to supplicate;exp, v5m;0;;;;;;;;;;;
杖とも柱とも頼む;つえともはしらともたのむ;to count on someone as the only support;exp, v5m;0;;;;;;;;;;;
たばこ;たばこ;tobacco, cigarettes;n;5;Why don't you give up smoking?;たばこ<ruby>止<rt>と</rt></ruby>めたら？;tobacco, cigarette, cigar;n;tobacco plant (Nicotiana tabacum);n;;;タバコ屋;煙草入れ;煙草盆
タバコ屋;タバコや;tobacco shop;n;0;;;;;;;;;;;
煙草入れ;タバコいれ;tobacco pouch;n;0;;;;;;;;;;;
煙草盆;タバコぼん;tobacco tray;n;0;;;;;;;;;;;
多分;たぶん;perhaps, probably, maybe;adv;5;Maybe that's right.;<ruby>多分<rt>たぶん</rt></ruby>そうだよ。;probably, likely, perhaps, maybe;adv;a lot of, much, many, considerable, large (amount), generous;adj-no, adj-na;;;ご多分に漏れず;多分に;ご多分
ご多分に漏れず;ごたぶんにもれず;as is usual with;exp;0;;;;;;;;;;;
多分に;たぶんに;in great amount;adv;0;;;;;;;;;;;
ご多分;ごたぶん;most cases;n;0;;;;;;;;;;;
食べ物;たべもの;food;n;5;Food!;<ruby>食べ物<rt>たべもの</rt></ruby>！;food;n;;;;;食べ物屋;;
食べ物屋;たべものや;eatery;n;0;;;;;;;;;;;
食べる;たべる;to eat;v1, vt;5;Do you want to eat?;<ruby>食<rt>た</rt></ruby>べる？;to eat;v1, vt;to live on (e.g. a salary), to live off, to subsist on;v1, vt;;;食べるラー油;ぼりぼり食べる;生で食べる
食べるラー油;たべるラーゆ;chili oil mixed with chopped garlic, onions, etc.;exp, n;0;;;;;;;;;;;
ぼりぼり食べる;ぼりぼりたべる;to eat with a munching or crunching sound;exp, v1;0;;;;;;;;;;;
生で食べる;なまでたべる;to eat raw (fresh);exp, v1;0;;;;;;;;;;;
卵;たまご;egg;n;5;Where are the eggs?;<ruby>卵<rt>たまご</rt></ruby>はどこ。;eggs, egg, spawn, roe;n;(hen's) egg;n;a ... in the making, future (lawyer, doctor, etc.), budding ...;n;卵かけご飯;卵とじ;卵巣がん
卵かけご飯;たまごかけごはん;rice topped with raw egg (often seasoned with soy sauce);n;0;;;;;;;;;;;
卵とじ;たまごとじ;soup or stew over which a beaten egg is poured before serving;n;0;;;;;;;;;;;
卵巣がん;らんそうがん;ovarian cancer;n;0;;;;;;;;;;;
誰;だれ;who;pn;5;Who's next?;<ruby>次<rt>つぎ</rt></ruby>は<ruby>誰<rt>だれ</rt></ruby>？;who;pn;;;;;誰それ;誰も彼も;誰彼かまわず
誰それ;だれそれ;a certain someone;pn;0;;;;;;;;;;;
誰も彼も;だれもかれも;everyone;n;0;;;;;;;;;;;
誰彼かまわず;だれかれかまわず;irrespective of the person concerned;exp, adv;0;;;;;;;;;;;
誰か;だれか;someone;pn;5;Is anybody here?;<ruby>誰<rt>だれ</rt></ruby>かいる？;someone, somebody;pn;;;;;誰彼;誰かさん;誰彼かまわず
誰彼;だれかれ;this or that person;pn;0;;;;;;;;;;;
誰かさん;だれかさん;a certain someone;n;0;;;;;;;;;;;
誰彼かまわず;だれかれかまわず;irrespective of the person concerned;exp, adv;0;;;;;;;;;;;
誕生日;たんじょうび;birthday;n;5;Whose birthday is it?;<ruby>誰<rt>だれ</rt></ruby>の<ruby>誕生日<rt>たんじょうび</rt></ruby>？;birthday;n;;;;;誕生日パーティー;誕生日おめでとうございます;誕生日会
誕生日パーティー;たんじょうびパーティー;birthday party;n;0;;;;;;;;;;;
誕生日おめでとうございます;たんじょうびおめでとうございます;Happy Birthday;exp;0;;;;;;;;;;;
誕生日会;たんじょうびかい;birthday party;n, vs;0;;;;;;;;;;;
段々;だんだん;gradually, by degrees;adv, adv-to;5;I am beginning to remember it.;<ruby>段々<rt>だんだん</rt></ruby><ruby>思い出<rt>おもいだ</rt></ruby>し<ruby>始<rt>はじ</rt></ruby>めてきた。;gradually, by degrees, little by little, more and more, increasingly;adv, adv-to;steps, stairs, staircase, terrace;n;;;段々畑;;
段々畑;だんだんばたけ;terraced fields;n;0;;;;;;;;;;;
小さい;ちいさい;small, little;adj-i;5;So small!;<ruby>小<rt>ちー</rt></ruby>さい！;small, little, tiny;adj-i;slight, below average (in degree, amount, etc.), minor, small;adj-i;low (e.g. sound), soft (e.g. voice);adj-i;小さい頃;ごく小さい;ケツの穴が小さい
小さい頃;ちいさいころ;as a child;exp, n;0;;;;;;;;;;;
ごく小さい;ごくちいさい;very small;exp, adj-i;0;;;;;;;;;;;
ケツの穴が小さい;けつのあながちいさい;small-minded;exp, adj-f;0;;;;;;;;;;;
小さな;ちいさな;small, little;adj-pn;5;It's a small room.;<ruby>小<rt>ちい</rt></ruby>さな<ruby>部屋<rt>へや</rt></ruby>ね。;small, little, tiny;adj-pn;;;;;小さな政府;一回り小さな;
小さな政府;ちいさなせいふ;small government;n;0;;;;;;;;;;;
一回り小さな;ひとまわりちいさな;a size smaller;adj-pn;0;;;;;;;;;;;
近い;ちかい;near, close by, short;adj-i;5;He must be nearly forty.;４０<ruby>近<rt>ちか</rt></ruby>いはずだ。;near, close, short (distance);adj-i;close (in time), soon;adj-i;close (relationship), friendly, intimate;adj-i;近いうちに;近い将来;程近い
近いうちに;ちかいうちに;soon;exp, adv;0;;;;;;;;;;;
近い将来;ちかいしょうらい;near future;exp, n, adj-no;0;;;;;;;;;;;
程近い;ほどちかい;near;adj-i;0;;;;;;;;;;;
違う;ちがう;to be different, to differ, wrong;v5u, vi;5;That's wrong.;<ruby>違<rt>ちが</rt></ruby>う。;to differ (from), to be different, to be distinct, to be unlike, to vary, to disagree (with);v5u, vi;to be wrong, to be incorrect, to be mistaken;v5u, vi;to become abnormal, to go wrong;v5u, vi;食い違う;掛け違う;桁が違う
食い違う;くいちがう;to not match well (e.g. at the seams);v5u, vi;0;;;;;;;;;;;
掛け違う;かけちがう;to put (up) in the wrong place;v5u, vt;0;;;;;;;;;;;
桁が違う;けたがちがう;to be on a (completely) different level;exp, v5u;0;;;;;;;;;;;
近く;ちかく;nearby, in the neighborhood;n, adj-no, adv;5;Are you nearby?;<ruby>近<rt>ちか</rt></ruby>くにいる？;near, neighbourhood, neighborhood, vicinity;n, adj-no, adv;"nearly (e.g. ""it took nearly one year""), close to";n-suf;shortly, soon;adv;側近く;遠くの親類より近くの他人;遠くの親戚より近くの他人
側近く;そばちかく;nearby;n;0;;;;;;;;;;;
遠くの親類より近くの他人;とおくのしんるいよりちかくのたにん;a neighbour is better than a relative living far;exp;0;;;;;;;;;;;
遠くの親戚より近くの他人;とおくのしんせきよりちかくのたにん;a neighbour is better than a relative living far;exp;0;;;;;;;;;;;
地下鉄;ちかてつ;underground train, subway;n;5;Let's take the subway.;<ruby>地下鉄<rt>ちかてつ</rt></ruby>に<ruby>乗<rt>の</rt></ruby>ろう。;subway, metro, underground (railway);n;;;;;地下鉄サリン事件;地下鉄道;市営地下鉄
地下鉄サリン事件;ちかてつサリンじけん;sarin gas attack on the Tokyo subway (March 20, 1995);n;0;;;;;;;;;;;
地下鉄道;ちかてつどう;subway;n;0;;;;;;;;;;;
市営地下鉄;しえいちかてつ;municipal subway;n;0;;;;;;;;;;;
地図;ちず;a map;n;5;I need a map.;<ruby>地図<rt>ちず</rt></ruby>が<ruby>要<rt>い</rt></ruby>ります。;map, atlas, chart, plan;n;;;;;地図作成;地図帳;地図学
地図作成;ちずさくせい;cartography;n;0;;;;;;;;;;;
地図帳;ちずちょう;atlas;n;0;;;;;;;;;;;
地図学;ちずがく;cartography;n;0;;;;;;;;;;;
父;ちち;(my) father;n;5;Our father is fifty years old.;<ruby>父<rt>ちち</rt></ruby>は50です。;father;n;;;;;おじ様;父なし子;父者人
おじ様;おじさま;uncle;n;0;;;;;;;;;;;
父なし子;ててなしご;child whose paternity is unknown;n;0;;;;;;;;;;;
父者人;ちちじゃひと;father;n;0;;;;;;;;;;;
茶色;ちゃいろ;brown;n, adj-no;5;What animal is brown?;<ruby>茶色<rt>ちゃいろ</rt></ruby>の<ruby>動物<rt>どうぶつ</rt></ruby>は？;brown, light brown, tawny;n, adj-no;;;;;こげ茶色;茶色い;茶色雀蜂
こげ茶色;こげちゃいろ;dark brown;n, adj-no;0;;;;;;;;;;;
茶色い;ちゃいろい;light brown;adj-i;0;;;;;;;;;;;
茶色雀蜂;ちゃいろすずめばち;brown hornet (Vespa dybowskii);n;0;;;;;;;;;;;
茶碗;ちゃわん;rice bowl;n;5;He chipped the edge of the tea cup.;<ruby>彼<rt>かれ</rt></ruby>は<ruby>茶碗<rt>ちゃわん</rt></ruby>のふちを<ruby>欠<rt>か</rt></ruby>いた。;rice bowl, tea cup, teacup;n;;;;;茶碗蒸し;湯飲み茶碗;夫婦茶碗
茶碗蒸し;ちゃわんむし;chawanmushi;n;0;;;;;;;;;;;
湯飲み茶碗;ゆのみぢゃわん;teacup;n;0;;;;;;;;;;;
夫婦茶碗;めおとぢゃわん;pair of teacups (or rice bowls) for a married couple (one large and one small);n;0;;;;;;;;;;;
～中;～ちゅう;during, while ~ing;n;5;Go inside.;<ruby>中<rt>なか</rt></ruby>へ。;medium (size), average (grade, level, etc.), middle;n;in, within, out of (e.g. ten people), among;suf;during, while, in (the course of), within (a period), throughout;suf;中継ぎ;中手;中ぐり盤
中継ぎ;なかつぎ;joining;n, vs;0;;;;;;;;;;;
中手;なかて;mid-season crops;n;0;;;;;;;;;;;
中ぐり盤;なかぐりばん;boring machine;n;0;;;;;;;;;;;
丁度;ちょうど;just, right, exactly;adv;5;Do these gloves fit you?;この<ruby>手袋<rt>てぶくろ</rt></ruby>、<ruby>丁度<rt>ちょうど</rt></ruby>いい？;exactly, precisely, just, right, opportunely, fortunately;adv;just (like), as if, as though;adv;;;ちょうど良い;ちょうど今;丁度可知差異
ちょうど良い;ちょうどいい;just right (time, size, length, etc.);exp, adj-ix;0;;;;;;;;;;;
ちょうど今;ちょうどいま;right now;exp, n, adv;0;;;;;;;;;;;
丁度可知差異;ちょうどかちさい;just-noticeable difference;n;0;;;;;;;;;;;
ちょっと;ちょっと;a little, somewhat, just a little, somewhat;adv;5;Err...;ちょっと…;a little, a bit, slightly;adv;just a minute, for a moment, briefly;adv;somewhat, rather, fairly, pretty, quite;adv;ちょっと一杯;ちょっと見;ちょっと難しい
ちょっと一杯;ちょっといっぱい;let's have a quick drink;exp;0;;;;;;;;;;;
ちょっと見;ちょっとみ;look;n, adv;0;;;;;;;;;;;
ちょっと難しい;ちょっとむずかしい;a little difficult;exp, adj-i;0;;;;;;;;;;;
一日;ついたち;one day, first day of the month;n;5;One more day to go.;あと<ruby>一日<rt>ついたち</rt></ruby>だ。;first day of the month, the first of the month;n;;;;;一日中;一日の長;一日一日
一日中;いちにちじゅう;all day long;adv, n;0;;;;;;;;;;;
一日の長;いちじつのちょう;slight superiority (in knowledge, experience, ability, etc.);exp, n;0;;;;;;;;;;;
一日一日;いちにちいちにち;gradually;adv, adv-to;0;;;;;;;;;;;
