kanji;hiragana;meaning;pos;jlpt;sentenceEN;sentenceJP;meaning2;pos2;meaning3;pos3;meaning4;pos4;ref1;ref2;ref3
暖かい人;あたたかいひと;warmhearted person;exp, n;0;;;;;;;;;;;
暖かい色;あたたかいいろ;warm color;exp, n;0;;;;;;;;;;;
温かい歓迎;あたたかいかんげい;warm reception;exp, n;0;;;;;;;;;;;
頭;あたま;head;n;5;I have a headache.;<ruby>頭痛<rt>ずつう</rt></ruby>い。;head;n;hair (on one's head);n;mind, brains, intellect;n;頭角を現す;頭蓋骨;頭が固い
頭角を現す;とうかくをあらわす;to distinguish oneself;exp, v5s;0;;;;;;;;;;;
頭蓋骨;ずがいこつ;skull;n;0;;;;;;;;;;;
頭が固い;あたまがかたい;thickheaded;exp, adj-i;0;;;;;;;;;;;
新しい;あたらしい;new;adj-i;5;Is that a new car?;それ、<ruby>新<rt>あたら</rt></ruby>しい<ruby>車<rt>くるま</rt></ruby>？;new, novel, fresh, recent, latest, up-to-date, modern;adj-i;;;;;新しいもの好き;女房と畳は新しい方が良い;新しい酒は古い革袋に入れる
新しいもの好き;あたらしいものずき;neophilia;n;0;;;;;;;;;;;
女房と畳は新しい方が良い;にょうぼうとたたみはあたらしいほうがいい;wives and tatami mats are best when new;exp, adj-ix;0;;;;;;;;;;;
新しい酒は古い革袋に入れる;あたらしいさけはふるいかわぶくろにいれる;to put new wine into old wineskins;exp;0;;;;;;;;;;;
あちら;あちら;this way (polite);pn;5;Is that your wife?;あちらの<ruby>方<rt>かた</rt></ruby>は<ruby>奥<rt>おく</rt></ruby>さんですか？;that way, that direction, over there, yonder;pn;that (one);pn;that person;pn;あちら立てればこちらが立たぬ;あちら語;
あちら立てればこちらが立たぬ;あちらたてればこちらがたたぬ;it is hard to please everybody;exp;0;;;;;;;;;;;
あちら語;あちらご;foreign language;n;0;;;;;;;;;;;
暑い;あつい;hot (in reference to weather), warm;adj-i;5;It's hot.;<ruby>暑<rt>あつ</rt></ruby>い。;hot, warm, sultry, heated;adj-i;passionate, impassioned, burning (desire, etc.);adj-i;on everybody's mind, on the radar, du jour, interested (gaze, etc.);adj-i;蒸し暑い;クソ暑い;暑い盛り
蒸し暑い;むしあつい;humid;adj-i;0;;;;;;;;;;;
クソ暑い;くそあつい;extremely hot;adj-i;0;;;;;;;;;;;
暑い盛り;あついさかり;heat of the day;n;0;;;;;;;;;;;
熱い;あつい;hot (objects);adj-i;5;The eggs are still hot.;<ruby>卵<rt>たまご</rt></ruby>がまだ<ruby>熱<rt>あつ</rt></ruby>い。;hot (to the touch);adj-i;passionate (feelings, etc.), ardent, hot (e.g. gaze);adj-i;hot (e.g. temper);adj-i;熱い仲;熱い戦争;熱い暗黒物質
熱い仲;あついなか;mutual attraction;exp;0;;;;;;;;;;;
熱い戦争;あついせんそう;hot war;exp, n;0;;;;;;;;;;;
熱い暗黒物質;あついあんこくぶっしつ;hot dark matter;exp, n;0;;;;;;;;;;;
厚い;あつい;kind, warm(hearted), thick, deep;adj-i;5;The book is thick.;<ruby>分厚<rt>ぶあつ</rt></ruby>い<ruby>本<rt>ほん</rt></ruby>だな。;thick, deep, heavy;adj-i;kind, cordial, hospitable, warm, faithful;adj-i;serious (of an illness);adj-i;分厚い;厚い壁;面の皮が厚い
分厚い;ぶあつい;thick;adj-i;0;;;;;;;;;;;
厚い壁;あついかべ;hard-to-overcome obstacle;exp, n;0;;;;;;;;;;;
面の皮が厚い;つらのかわがあつい;shameless;exp, adj-i;0;;;;;;;;;;;
あっち;あっち;over there;pn;5;Go to hell!;あっち<ruby>行<rt>い</rt></ruby>け！;that way, that direction, over there, yonder;pn;that (one);pn;that person;pn;あっちゅう間;あちち;あっちゃ
あっちゅう間;あっちゅうま;an instant;exp, n;0;;;;;;;;;;;
あちち;あちち;ouch!;int;0;;;;;;;;;;;
あっちゃ;あっちゃ;oops;int;0;;;;;;;;;;;
後;あと;afterwards (later), in the future, the rest, since then;n, adj-no;5;I'll see you later.;また<ruby>後<rt>あと</rt></ruby>で。;behind, rear;n, adj-no;after, later;n, adj-no;remainder, the rest;n, adj-no;後ろ足;後ろ指を指される;後ろカゴ
後ろ足;うしろあし;hind leg;n;0;;;;;;;;;;;
